region,timestamp,temperature_c,precipitation_mm,humidity_pct,co2_ppm
Karachi,2023-01-01T00:00:00Z,31.81,4.6,85.59,437.59
Lahore,2023-01-01T02:00:00Z,26.4,0,34.97,414.91
Islamabad,2023-01-01T04:00:00Z,31.16,4.66,52.91,401.59
Quetta,2023-01-01T06:00:00Z,37.64,0,82.44,394.67
Peshawar,2023-01-01T08:00:00Z,27.87,1.03,62.69,413.35
Karachi,2023-01-01T10:00:00Z,26.86,2.41,73.9,395.03
Lahore,2023-01-01T12:00:00Z,25.81,3.51,54.24,397.13
Islamabad,2023-01-01T14:00:00Z,31.79,0,66.78,407.21
Quetta,2023-01-01T16:00:00Z,19.48,0,46.06,394.12
Peshawar,2023-01-01T18:00:00Z,26.28,2.66,78.03,424.83
Karachi,2023-01-01T20:00:00Z,39.82,1.06,60.3,418.52
Lahore,2023-01-01T22:00:00Z,30.88,2.21,59.89,416.08
Islamabad,2023-01-02T00:00:00Z,28.12,6.05,78.17,416.79
Quetta,2023-01-02T02:00:00Z,16.04,2.86,69.66,387.77
Peshawar,2023-01-02T04:00:00Z,18.35,4.99,74.61,405.53
Karachi,2023-01-02T06:00:00Z,34.22,5.16,52.46,411.91
Lahore,2023-01-02T08:00:00Z,30.69,0,63.03,379.43
Islamabad,2023-01-02T10:00:00Z,35.97,12.82,66.07,424.0
Quetta,2023-01-02T12:00:00Z,28.59,0,87.28,387.35
Peshawar,2023-01-02T14:00:00Z,34.77,0,35.97,392.9
Karachi,2023-01-02T16:00:00Z,16.4,0,66.61,431.25
Lahore,2023-01-02T18:00:00Z,24.58,1.35,76.27,444.06
Islamabad,2023-01-02T20:00:00Z,44.06,4.51,43.25,370.87
Quetta,2023-01-02T22:00:00Z,44.69,6.81,53.59,406.2
Peshawar,2023-01-03T00:00:00Z,33.17,8.79,87.48,416.93
Karachi,2023-01-03T02:00:00Z,19.68,5.42,47.66,429.81
Lahore,2023-01-03T04:00:00Z,19.85,1.86,45.6,407.54
Islamabad,2023-01-03T06:00:00Z,35.26,0,36.65,414.56
Quetta,2023-01-03T08:00:00Z,13.84,1.7,77.08,411.77
Peshawar,2023-01-03T10:00:00Z,15.6,3.05,72.35,403.37
Karachi,2023-01-03T12:00:00Z,11.36,0.09,76.61,426.83
Lahore,2023-01-03T14:00:00Z,30.03,0.43,51.47,404.44
Islamabad,2023-01-03T16:00:00Z,34.74,0,43.28,414.61
Quetta,2023-01-03T18:00:00Z,24.94,3.15,56.83,404.75
Peshawar,2023-01-03T20:00:00Z,26.72,6.96,68.29,401.49
Karachi,2023-01-03T22:00:00Z,21.56,3.6,60.49,387.53
Lahore,2023-01-04T00:00:00Z,33.55,8.34,72.04,432.67
Islamabad,2023-01-04T02:00:00Z,35.85,13.41,74.44,423.4
Quetta,2023-01-04T04:00:00Z,26.97,5.84,49.68,384.04
Peshawar,2023-01-04T06:00:00Z,31.89,0,88.22,396.85
Karachi,2023-01-04T08:00:00Z,33.32,3.53,35.29,392.12
Lahore,2023-01-04T10:00:00Z,14.29,0,67.38,402.48
Islamabad,2023-01-04T12:00:00Z,37.23,4.51,79.71,419.73
Quetta,2023-01-04T14:00:00Z,19.08,0,67.72,409.18
Peshawar,2023-01-04T16:00:00Z,11.82,2.69,64.43,402.83
Karachi,2023-01-04T18:00:00Z,30.12,0,52.17,427.09
Lahore,2023-01-04T20:00:00Z,35.15,0,52.28,418.06
Islamabad,2023-01-04T22:00:00Z,19.29,12.38,61.43,431.38
Quetta,2023-01-05T00:00:00Z,36.14,11.61,67.43,410.68
Peshawar,2023-01-05T02:00:00Z,26.85,0.92,74.26,395.14
Karachi,2023-01-05T04:00:00Z,24.2,0.5,83.57,395.27
Lahore,2023-01-05T06:00:00Z,26.3,1.14,67.63,448.71
Islamabad,2023-01-05T08:00:00Z,42.9,3.22,47.56,409.2
Quetta,2023-01-05T10:00:00Z,17.05,0,87.19,409.81
Peshawar,2023-01-05T12:00:00Z,32.78,0,74.18,430.58
Karachi,2023-01-05T14:00:00Z,33.99,3.68,59.8,420.64
Lahore,2023-01-05T16:00:00Z,22.58,10.18,48.77,387.92
Islamabad,2023-01-05T18:00:00Z,36.7,0,58.06,430.39
Quetta,2023-01-05T20:00:00Z,13.75,5.64,56.43,433.36
Peshawar,2023-01-05T22:00:00Z,31.33,5.17,32.86,404.5
Karachi,2023-01-06T00:00:00Z,33.15,4.35,68.24,397.08
Lahore,2023-01-06T02:00:00Z,33.93,4.41,42.85,419.87
Islamabad,2023-01-06T04:00:00Z,22.73,0,51.59,406.45
Quetta,2023-01-06T06:00:00Z,30.89,1.94,60.5,405.14
Peshawar,2023-01-06T08:00:00Z,18.9,5.92,36.82,394.83
Karachi,2023-01-06T10:00:00Z,31.33,0,73.14,403.51
Lahore,2023-01-06T12:00:00Z,34.49,0,52.05,434.36
Islamabad,2023-01-06T14:00:00Z,22.05,2.86,59.1,423.09
Quetta,2023-01-06T16:00:00Z,27.1,8.9,51.23,393.13
Peshawar,2023-01-06T18:00:00Z,37.76,5.09,36.19,407.27
Karachi,2023-01-06T20:00:00Z,30.99,12.23,32.18,399.48
Lahore,2023-01-06T22:00:00Z,38.32,0.65,43.68,423.4
Islamabad,2023-01-07T00:00:00Z,35.02,0,83.11,437.87
Quetta,2023-01-07T02:00:00Z,31.04,5.14,58.54,437.17
Peshawar,2023-01-07T04:00:00Z,20.74,9.62,34.76,423.63
Karachi,2023-01-07T06:00:00Z,24.19,5.17,51.54,414.92
Lahore,2023-01-07T08:00:00Z,37.86,1.32,51.6,420.47
Islamabad,2023-01-07T10:00:00Z,27.5,0,48.49,412.16
Quetta,2023-01-07T12:00:00Z,16.52,6.87,59.38,421.75
Peshawar,2023-01-07T14:00:00Z,21.79,8.28,58.28,410.86
Karachi,2023-01-07T16:00:00Z,26.9,7.18,60.43,418.52
Lahore,2023-01-07T18:00:00Z,22.32,10.35,54.35,409.2
Islamabad,2023-01-07T20:00:00Z,39.01,7.42,56.04,399.87
Quetta,2023-01-07T22:00:00Z,32.61,3.24,61.03,424.15
Peshawar,2023-01-08T00:00:00Z,9.06,2.37,88.18,405.79
Karachi,2023-01-08T02:00:00Z,34.99,6.07,50.99,421.14
Lahore,2023-01-08T04:00:00Z,24.27,0,37.78,397.7
Islamabad,2023-01-08T06:00:00Z,35.17,3.68,54.09,412.43
Quetta,2023-01-08T08:00:00Z,26.32,6.59,52.78,404.29
Peshawar,2023-01-08T10:00:00Z,30.02,0,40.14,393.64
Karachi,2023-01-08T12:00:00Z,44.8,9.57,50.02,396.29
Lahore,2023-01-08T14:00:00Z,28.08,7.55,78.81,393.17
Islamabad,2023-01-08T16:00:00Z,24.02,5.99,56.83,410.12
Quetta,2023-01-08T18:00:00Z,21.95,2.98,43.22,422.03
Peshawar,2023-01-08T20:00:00Z,10.04,9.77,36.98,387.04
Karachi,2023-01-08T22:00:00Z,30.64,2.96,35.51,403.19
Lahore,2023-01-09T00:00:00Z,22.81,0.07,82.18,425.53
Islamabad,2023-01-09T02:00:00Z,12.65,3.76,56.36,408.89
Quetta,2023-01-09T04:00:00Z,7.08,0.48,58.07,416.79
Peshawar,2023-01-09T06:00:00Z,32.95,0,51.24,388.75
Karachi,2023-01-09T08:00:00Z,29.51,0,51.95,423.41
Lahore,2023-01-09T10:00:00Z,27.97,6.44,32.38,411.33
Islamabad,2023-01-09T12:00:00Z,12.21,0,41.47,422.08
Quetta,2023-01-09T14:00:00Z,33.36,4.39,48.29,451.42
Peshawar,2023-01-09T16:00:00Z,35.78,1.32,48.23,415.15
Karachi,2023-01-09T18:00:00Z,34.25,0,52.78,403.2
Lahore,2023-01-09T20:00:00Z,25.59,15.62,45.6,400.25
Islamabad,2023-01-09T22:00:00Z,37.4,0.22,43.93,413.43
Quetta,2023-01-10T00:00:00Z,36.19,0,30.21,416.25
Peshawar,2023-01-10T02:00:00Z,25.51,5.17,53.14,413.99
Karachi,2023-01-10T04:00:00Z,11.9,5.73,52.17,413.26
Lahore,2023-01-10T06:00:00Z,27.76,1.34,54.1,405.09
Islamabad,2023-01-10T08:00:00Z,10.19,0,66.2,406.87
Quetta,2023-01-10T10:00:00Z,25.67,0,42.99,382.45
Peshawar,2023-01-10T12:00:00Z,7.8,3.37,67.87,410.42
Karachi,2023-01-10T14:00:00Z,37.03,0,77.66,389.78
Lahore,2023-01-10T16:00:00Z,27.82,0,49.62,399.06
Islamabad,2023-01-10T18:00:00Z,47.88,4.94,67.23,389.6
Quetta,2023-01-10T20:00:00Z,18.05,0.35,83.42,391.67
Peshawar,2023-01-10T22:00:00Z,23.02,0,86.8,406.92
Karachi,2023-01-11T00:00:00Z,36.04,3.7,60.65,430.23
Lahore,2023-01-11T02:00:00Z,33.92,9.63,50.61,440.51
Islamabad,2023-01-11T04:00:00Z,43.34,11.18,84.31,428.8
Quetta,2023-01-11T06:00:00Z,40.26,4.39,77.86,430.08
Peshawar,2023-01-11T08:00:00Z,29.7,2.02,82.78,425.53
Karachi,2023-01-11T10:00:00Z,28.11,11.72,31.74,410.53
Lahore,2023-01-11T12:00:00Z,27.39,1.92,33.6,402.1
Islamabad,2023-01-11T14:00:00Z,36.4,0,73.38,379.46
Quetta,2023-01-11T16:00:00Z,34.1,1.8,86.99,427.66
Peshawar,2023-01-11T18:00:00Z,38.9,0,39.85,398.83
Karachi,2023-01-11T20:00:00Z,24.23,2.48,70.4,408.06
Lahore,2023-01-11T22:00:00Z,30.92,0,85.95,407.87
Islamabad,2023-01-12T00:00:00Z,20.54,0,58.38,388.93
Quetta,2023-01-12T02:00:00Z,34.07,2.22,69.89,442.12
Peshawar,2023-01-12T04:00:00Z,29.21,0,52.08,395.55
Karachi,2023-01-12T06:00:00Z,35.19,0,31.15,409.33
Lahore,2023-01-12T08:00:00Z,20.09,3.96,75.44,408.09
Islamabad,2023-01-12T10:00:00Z,21.99,0,69.59,394.97
Quetta,2023-01-12T12:00:00Z,37.74,3.12,58.72,399.29
Peshawar,2023-01-12T14:00:00Z,25.19,2.02,54.34,393.14
Karachi,2023-01-12T16:00:00Z,22.73,5.88,76.38,421.56
Lahore,2023-01-12T18:00:00Z,26.4,5.63,52.56,399.98
Islamabad,2023-01-12T20:00:00Z,18.07,0,86.42,395.45
Quetta,2023-01-12T22:00:00Z,13.5,9.94,73.92,402.17
Peshawar,2023-01-13T00:00:00Z,29.46,2.72,36.83,423.07
Karachi,2023-01-13T02:00:00Z,41.52,0,63.49,408.45
Lahore,2023-01-13T04:00:00Z,27.95,0,31.31,390.11
Islamabad,2023-01-13T06:00:00Z,28.2,0,68.76,412.1
Quetta,2023-01-13T08:00:00Z,18.32,3.25,83.9,420.08
Peshawar,2023-01-13T10:00:00Z,10.49,0,74.67,405.38
Karachi,2023-01-13T12:00:00Z,40.19,3.54,71.48,382.6
Lahore,2023-01-13T14:00:00Z,41.86,0,55.36,402.11
Islamabad,2023-01-13T16:00:00Z,20.82,6.37,39.04,402.11
Quetta,2023-01-13T18:00:00Z,25.81,0.82,68.87,393.8
Peshawar,2023-01-13T20:00:00Z,25.16,0,72.08,430.64
Karachi,2023-01-13T22:00:00Z,39.22,0,73.04,403.95
